work,artist
Kernel,agoston nagy
Turing,agoston nagy
Fantasia,Alejandro Campos
DOM1,Andreas Gysin
Smooth Steps,Andreas Gysin
Art for Walls in Public Spaces,Anna Lucia
Ethereal Microcosm,Ciphrd
Ethereal Microcosm,Ciphrd & Adam Berninger
Autoscope,Erik Swahn
Device 1,ertdfgcvb
Towers,ertdfgcvb
ScheduledProgramming,Frank Manzano
Chromatic Dazzle,Frederik Vanhoutte
crystalline work,John Gerrard
Western Flag,John Gerrard
World Flag,John Gerrard
Reflejos,Juan Rodriguez Garcia
DVD Screensaver,Kevin Esherick
Cargo,Kim Asendorf
Monogrid,Kim Asendorf
Reading a Book,Kim Asendorf
Imi,Leander Herzog
Returns,Leander Herzog
Very Large Array,Leander Herzog
Toccata,LeMonde2D
Tide Predictor,LoVid
Toccata,MonkAntony
Dopamine Machines,Steve Pikelny
Defrag,toxi
Defrag 2,toxi
Defrag V2,toxi
Crawl,Travess Smalley
Palimpsest,Unruly Unroll
