slug,guest,guest_type,display_title
McLlama,McLlama,"Collector, Artist",Turning Pokemon Cards into fx(hash) Grails
Remnynt,remnynt,Artist,Cave Painting In The Digital Age
CCDDBB,CCDDBB (Claudio Dalla Bernardina),Artist,Following The Line
Haiver,Haiver,Artist,Artist Commons: Art Whispering with Haiver
Jammasterlee,Jammasterlee,Artist,Can't Live A Normal Life
Pronoia,Pronoia,Collector,Big Yapping about $fxh with Pronoia
Ciphrd_Cosimo,Ciphrd & Cosimo,Platform,Navigating The New $fxh Token Protocol
Zancan,Zancan,Artist,Beautiful Utopias
NukCZ,NukCZ,Collector,Getting Art Focused
StevePikelny,Steve Pikelny (Stevie P),Artist,Holistic Internet Experience
KevinEsherick,Kevin Esherick,Artist,On Generative Anesthetics
MimiNguyen,Mimi Nguyen,Platform,How To Start A Gallery On Another Continent
TravessSmalley,Travess Smalley,Artist,"Zoom In, Zoom Out"
JohnGerrard_WhitneyHart,John Gerrard & Whitney Hart,Artist,Public Art & The Dance Between The Virtual and the Real
JamesMerrill,James Merrill,Artist,Making Generative Art Less Random
BjrnStaal,Bjørn Staal,Artist,Entangled Cities
ErickCalderon,Erick Calderon,"Platform, Artist",Magic Is Not Real
AlejandroCampos,Alejandro Campos,Artist,Generative Art is a Website
IskraVelitchkova,Iskra Velitchkova,Artist,The Distance of a Bird
RichPoole_RickCrane,Rich Poole & Rick Crane,Artist,Uncompromising Collaborations
ErikSwahn,Erik Swahn,Artist,Computational Creativity
JamieGourlay,"Jamie Gourlay, Founder of Verse",Platform,Evolving Verse
ErickCalderon_2,Erick Calderon,"Platform, Artist",Building The Next Wave of GenArt Lovers
NicolasStreschinsky,Nicolas Streschinsky,Platform,What Is Etherlink?
JacekMarkusiewicz,Jacek Markusiewicz,Artist,"Baudrillard, Blockchains & Barbarians"
KjetilGolid,Kjetil Golid,Artist,Structural Complexity Through Visual Clarity
JanRobertLeegte,Jan Robert Leegte,Artist,Sculpting The Web
LoVid,LoVid (Tali Hinkis & Kyle Lapidus),Artist,Feeling Infinity
PierreCasadebeig,Pierre Casadebeig,Artist,Minimum Viable Mountain
