slug,audio_file,guests,title,audio_url,bio_file
McLlama,McLlama.mp3,McLlama,Turning Pokemon Cards into fx(hash) Grails - Interview with McLlama,https://anchor.fm/s/7c35eb94/podcast/play/121224730/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2026-5-9%2Fc90a5e0d-0d69-b52f-0e56-f9293aaec360.mp3,bios/McLlama.txt
Remnynt,Remnynt.mp3,remnynt,Cave Painting In The Digital Age - Interview With Remnynt,https://anchor.fm/s/7c35eb94/podcast/play/120347977/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2026-4-21%2F6cf60f79-f9c8-d79f-f010-3c5f99b62a73.mp3,bios/Remnynt.txt
CCDDBB,CCDDBB.mp3,CCDDBB (Claudio Dalla Bernardina),Following The Line - Interview with CCDDBB (Claudio Dalla Bernardina),https://anchor.fm/s/7c35eb94/podcast/play/117901339/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2026-3-3%2F4fb3119a-0a8b-862a-bd59-6c7c6a2305db.mp3,bios/CCDDBB.txt
Jammasterlee,Jammasterlee.mp3,Jammasterlee,Can't Live A Normal Life: Interview with Jammasterlee,https://anchor.fm/s/7c35eb94/podcast/play/108781111/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-8-25%2F0b96188e-f170-fa03-f189-f651ad3f994b.mp3,bios/Jammasterlee.txt
Ciphrd_Cosimo,Ciphrd_Cosimo.mp3,Ciphrd and Cosimo,Navigating The New $fxh Token Protocol: Interview with Ciphrd and Cosimo,https://anchor.fm/s/7c35eb94/podcast/play/102866276/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2025-4-19%2F0ef877d8-e2d0-71ba-00c0-fb8d71385591.mp3,bios/Ciphrd_Cosimo.txt
Zancan,Zancan.mp3,Zancan,Beautiful Utopias: Interview with Zancan,https://anchor.fm/s/7c35eb94/podcast/play/93185302/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-9-17%2Ff26487aa-bb30-8010-fda6-944b546fdbcb.mp3,bios/Zancan.txt
NukCZ,NukCZ.mp3,NukCZ,Getting Art Focused: Interview with NukCZ,https://anchor.fm/s/7c35eb94/podcast/play/92271551/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-8-27%2F946e0f13-b553-6649-6a7e-cf9dd0f3a4dc.mp3,bios/NukCZ.txt
StevePikelny,StevePikelny.mp3,Steve Pikelny (Stevie P),Holistic Internet Experience: Interview with Steve Pikelny (Stevie P),https://anchor.fm/s/7c35eb94/podcast/play/91002038/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-7-28%2F8d488007-da94-f9ed-d0a1-ac824ff69a43.mp3,bios/StevePikelny.txt
KevinEsherick,KevinEsherick.mp3,Kevin Esherick,On Generative Anesthetics: Interview with Kevin Esherick,https://anchor.fm/s/7c35eb94/podcast/play/90487267/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-7-15%2F882a6d14-de04-017f-890f-aeb6269158d3.mp3,bios/KevinEsherick.txt
MimiNguyen,MimiNguyen.mp3,Mimi Nguyen,How To Start A Gallery On Another Continent: Interview with Mimi Nguyen,https://anchor.fm/s/7c35eb94/podcast/play/89979223/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2024-7-2%2F21a2e002-f604-74a5-e9ea-965527c14e16.mp3,bios/MimiNguyen.txt
